Carimbo de data/hora;Primeiro, poderia nos dizer qual seu interesse academico;Qual sua idade;Com qual genero voce se identifica;Em qual regiao do Brasil voce mora;Quais redes sociais voce mais utiliza;Quais canais de noticia voce costuma acessar;Nos momentos de lazer o que voce gosta de fazer;Que tipo de entretenimento voce mais consome;Dentro do cenario politico em que vivemos  qual sua posicao em relacao ao atual governo;Em que momento voce se encontra como estudante;Como e sua rotina enquanto estudante;Qual curso voce pretende estudar;Como voce se prepara para o vestibular;Qual o envolvimento dos seus pais durante sua preparac’o para o vestibular;Como voce costuma buscar informacoes sobre as instituicoes de ensino onde voce gostaria de estudar;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao renomada;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao publica;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao privada;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao atualizada com o mercado;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser gratuita ou ter um preco acessivel;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter uma boa estrutura fiscia e pedagogica;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter um bom indicie de empregabilidade aPos formado;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter uma boa grade de ensino incluindo aulas praticas;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter atividades complementares na grade de ensino;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter programas de intercŸmbio;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter programas de bolsas de estudo e estagio interno;Quais das seguintes atividades seriam do seu interesse enquanto estudante de Graduacao;Quanto a localizacao da instituicao o que voce considera importante;Pensando em estudar longe de casa  quais beneficios e atrativos uma cidade precisa ter;Onde voce costuma ver anuncios sobre cursos vestibulares e instituicoes
8/23/2019 15:46:15;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:46:35;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:46:56;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:50:00;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:51:19;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:51:33;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:53:05;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:53:45;Estou buscando um curso de Graduacao;De 21 a 30 anos;Masculino;Sudeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Redes Sociais: paginas e Perfis Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc;Musica Jogos Series Filmes Blogs;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Dedico bastante tempo aos estudos;Engenharia Medicina;Estudo em casa por conta propria;Estao constantemente me orientando quanto a cursos e instituicoes;Conversando com amigos;5;5;1;5;5;5;5;5;5;4;5;Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso);Estar localizada na cidade em que eu moro Estar localizada em qualquer cidade do meu estado;Transporte publico de qualidade;Facebook
8/23/2019 15:53:51;Estou buscando um curso de Graduacao;De 31 a 40 anos;Masculino;Sudeste;Facebook Youtube Whatsapp Linkedin;Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico;Musica Jogos Series Filmes Redes Sociais;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando uma terceira graduacao;Dedico pouco tempo aos estudos;Engenharia;nao me preparo para o vestibular;Apoiam minha escolha de curso;Vendo a avaliacao da instituicao no site do MEC;2;1;4;5;5;5;4;5;2;2;3;Empreendedorismo;nao tenho restricoes quanto a localizacao;Baixo custo de vida;Sites e blogs
8/23/2019 15:56:58;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp;Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Series Filmes Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Faco o basico para conseguir aprovacao Participo de grupos estudantis Faco atividades complementares;Outro curso de exatas;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube;Meus pais nao se envolvem;Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;3;3;5;5;5;5;5;5;5;5;5;Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Vida noturna agitada Entretenimento para os finais de semana Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook
8/23/2019 15:57:10;Estou buscando um curso de Graduacao;De 21 a 30 anos;Masculino;Sul;Facebook Messenger (Facebook) Instagram Youtube Whatsapp Twitter;Redes Sociais: paginas e Perfis Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Curtir shows e festivais de musica;Musica Jogos Esportes Series Filmes Podcasts Redes Sociais;Prefiro nao opinar sobre isso.;Curso webdesigneringles;Faco atividades complementares;Outro curso de exatas;Estudo em casa por conta propria;Estao constantemente me orientando quanto a cursos e instituicoes Contribuem na hora de pesquisar sobre cursos e instituicoes Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com meus pais Conversando com amigos Conversando com parentes Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;3;3;3;3;3;3;3;3;3;3;3;Associacao Atletica Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia;Facebook Instagram Twitter Youtube Grupos de Whatsapp E-mail Televisao Radio midia impressa (revistas jornais panfletos etc) Sites e blogs
8/23/2019 16:02:46;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:03:33;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:06:59;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:07:19;Estou buscando um curso de Graduacao;De 21 a 30 anos;Masculino;Sul;Facebook Instagram Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Aproveitar a noite em bares e baladas Praticar alguma atividade fisica e/ou esportiva;Series Filmes Redes Sociais;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Dedico pouco tempo aos estudos Faco o basico para conseguir aprovacao;Medicina Direito;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube;Meus pais nao se envolvem;Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Acessando o site da propria instituicao;2;1;5;4;2;1;1;2;2;3;1;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Associacao Atletica;Estar localizada na cidade em que eu moro nao estar muito longe da minha familia;Transporte publico de qualidade Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube Transporte publico (onibus trem metro etc)
8/23/2019 16:07:58;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:08:40;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:13:43;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Nordeste;Facebook Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia Curtir shows e festivais de musica Praticar alguma atividade fisica e/ou esportiva Desenhar ler livros ir para igreja rezar;Musica Jogos Series Filmes Redes Sociais;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando uma segunda graduacao;Dedico pouco tempo aos estudos;Direito Outro curso de exatas;Estudo em casa por conta propria Assisto videoaulas no Youtube nao me preparo para o vestibular;Estao constantemente me orientando quanto a cursos e instituicoes Eles me ajudam financeiramente nos estudos Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao Querem decidir meu curso;Assistindo videos no Youtube Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;3;3;3;3;5;5;5;5;4;3;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro nao estar muito longe da minha familia;Transporte publico de qualidade;Facebook Instagram Youtube E-mail Televisao Transporte publico (onibus trem metro etc) midia impressa (revistas jornais panfletos etc) Sites e blogs
