Carimbo de data/hora;Primeiro poderia nos dizer qual seu interesse academico;Qual sua idade1;Com qual genero voce se identifica1;Em qual regiao do Brasil voce mora1;Quais redes sociais voce mais utiliza1;Quais canais de noticia voce costuma acessar1;Nos momentos de lazer o que voce gosta de fazer1;Que tipo de entretenimento voce mais consome1;Dentro do cenario politico em que vivemos qual sua posicao em relacao ao atual governo1;Em que momento voce se encontra como estudante1;Como e sua rotina enquanto estudante1;Em qual area voce pretende estudar1;Como voce se prepara para o vestibular1;Como voce costuma buscar informacoes sobre as instituicoes de ensino onde voce gostaria de estudar1;O que voce considera importante na hora de escolher uma instituicao de ensino superior  Ser uma instituicao renomada1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao publica1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao privada1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao atualizada com o mercado1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser gratuita ou ter um preco acessivel1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter uma boa estrutura fiscia e pedagogica1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter um bom indicie de empregabilidade aPos formado1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter uma boa grade de ensino incluindo aulas praticas1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter atividades complementares na grade de ensino1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter programas de intercambio1;O que voce considera importante na hora de escolher uma instituicao de ensino superior  Ter programas de bolsas de estudo e estagio interno1;Quais das seguintes atividades seriam do seu interesse enquanto estudante de PosGraduacao1;Quanto a localizacao da instituicao o que voce considera importante1;Pensando em estudar longe de casa quais beneficios e atrativos uma cidade precisa ter1;Onde voce costuma ver anuncios sobre cursos vestibulares e instituicoes1
8/23/2019 15:46:15;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:46:35;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:46:56;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Feminino;Sudeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp Linkedin;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao;Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Redes Sociais Blogs;"Sou contra mas concordo com algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos Participo de grupos estudantis Faco atividades complementares Atuo como monitor Atuo em projetos de iniciacao cientifica;Exatas;Estudo em casa por conta propria Assisto videoaulas no Youtube Participo de grupos de estudo Faco provas que simulam o vestibular;Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;4;5;5;5;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Instagram Televisao
8/23/2019 15:50:00;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Youtube Whatsapp Linkedin;Sites: G1 R7 Folha etc Radio Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Musica Series Filmes;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Graduado e sem estudar a algum tempo;Dedico bastante tempo aos estudos Faco atividades complementares;Exatas;nao me preparo para o vestibular;Fazendo uma busca no Google Buscando nas redes sociais Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;5;4;5;5;3;4;4;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Baixo custo de vida;Youtube Grupos de Whatsapp E-mail Radio Transporte publico (onibus trem metro etc)
8/23/2019 15:51:19;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:51:33;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:53:05;Estou buscando um curso de Pos-Graduacao;Menos de 18 anos;Masculino;Nordeste;Whatsapp;Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc;Musica Jogos Series Filmes Redes Sociais;Prefiro nao opinar sobre isso.;Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos Dedico pouco tempo aos estudos Faco o basico para conseguir aprovacao;Exatas;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube;Assistindo videos no Youtube Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;3;4;4;4;5;5;4;5;5;4;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Baixo indice de violencia;Facebook
8/23/2019 15:53:45;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:53:51;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:56:58;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:57:10;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:02:46;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Sudeste;Facebook Messenger (Facebook) Whatsapp;Sites: G1 R7 Folha etc;;Series Redes Sociais;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando minha segunda Pos-graduacao;Dedico bastante tempo aos estudos;Humanas;nao me preparo para o vestibular;Buscando nas redes sociais Acessando o site da propria instituicao;3;2;2;5;5;5;5;5;5;2;2;;nao estar muito longe da minha familia;;Facebook
8/23/2019 16:03:33;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Sudeste;Instagram;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao;Ficar em casa vendo series filmes jogando estudando etc Aproveitar a noite em bares e baladas Encontrar meus amigos e colocar o papo em dia;Musica Filmes Podcasts Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Fazendo minha primeira Pos graduacao;Dedico pouco tempo aos estudos;Exatas;Estudo em casa por conta propria;Conversando com amigos Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;5;1;2;5;1;5;5;5;5;5;5;Empreendedorismo Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Entretenimento para os finais de semana Baixo indice de violencia Baixo custo de vida;Facebook Instagram
8/23/2019 16:06:59;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Feminino;Sudeste;Facebook Instagram Youtube Whatsapp Linkedin;Impressos: Jornais e Revistas Redes Sociais: paginas e Perfis;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico;Musica Series Filmes Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando uma graduacao;Dedico pouco tempo aos estudos Faco atividades complementares;Exatas Humanas;Estudo em casa por conta propria Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;4;2;4;5;4;5;4;5;5;3;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo;Estar localizada em qualquer cidade do meu estado Estar dentro de uma cidade pequena e sossegada;Entretenimento para os finais de semana Opcoes de lazer e cultura;Facebook Grupos de Whatsapp
8/23/2019 16:07:19;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:07:58;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:08:40;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:13:43;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:14:02;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:19:44;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:20:27;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:20:46;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:24:44;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
